epoch,acc@1,acc@5
1,0.106,0.504
2,0.100,0.500
3,0.100,0.500
4,0.100,0.500
5,0.100,0.500
6,0.100,0.500
7,0.100,0.500
8,0.100,0.500
9,0.100,0.500
10,0.100,0.500
11,0.100,0.502
12,0.100,0.586
13,0.100,0.618
14,0.120,0.596
15,0.164,0.654
16,0.220,0.782
17,0.284,1.076
18,0.402,1.506
19,0.644,2.200
20,1.058,3.588
21,2.112,6.426
22,4.216,11.848
23,8.546,21.092
24,15.250,32.684
25,23.100,44.376
26,31.062,54.554
27,38.378,63.024
28,44.524,69.368
29,49.814,74.358
30,54.166,78.084
31,57.832,81.078
32,60.872,83.164
33,63.276,84.990
34,65.368,86.364
35,66.952,87.442
36,68.426,88.440
37,69.626,89.316
38,70.828,90.076
39,71.742,90.628
40,72.576,91.096
41,73.272,91.542
42,73.936,91.882
43,74.476,92.178
44,74.916,92.426
45,75.388,92.682
46,75.764,92.874
47,76.098,93.064
48,76.406,93.240
49,76.754,93.408
50,77.026,93.530
51,77.280,93.656
52,77.454,93.776
53,77.644,93.842
54,77.884,93.960
55,78.086,94.048
56,78.204,94.138
57,78.334,94.224
58,78.528,94.278
59,78.632,94.322
60,78.792,94.416
61,78.870,94.554
62,78.980,94.640
63,79.102,94.718
64,79.128,94.794
65,79.290,94.842
66,79.390,94.894
67,79.438,94.950
68,79.566,94.978
69,79.662,95.018
70,79.776,95.040
71,79.850,95.088
72,79.912,95.096
73,79.986,95.144
74,80.050,95.182
75,80.134,95.258
76,80.144,95.278
77,80.234,95.328
78,80.274,95.374
79,80.362,95.388
80,80.436,95.418
81,80.518,95.420
82,80.566,95.428
83,80.658,95.428
84,80.696,95.460
85,80.756,95.498
86,80.846,95.512
87,80.914,95.504
88,80.980,95.536
89,80.946,95.552
90,80.996,95.576
91,81.070,95.634
92,81.098,95.658
93,81.126,95.682
94,81.102,95.678
95,81.186,95.694
96,81.194,95.732
97,81.224,95.756
98,81.286,95.776
99,81.388,95.814
100,81.484,95.846
101,81.552,95.854
102,81.558,95.886
103,81.614,95.892
104,81.640,95.908
105,81.672,95.932
106,81.742,95.958
107,81.798,95.962
108,81.828,95.958
109,81.902,95.932
110,81.874,95.974
111,81.860,96.022
112,81.900,96.004
113,81.932,95.994
114,81.928,96.006
115,81.998,95.992
116,82.052,95.982
117,82.080,95.996
118,82.138,96.010
119,82.152,96.028
120,82.174,96.056
121,82.228,96.076
122,82.234,96.070
123,82.232,96.088
124,82.226,96.122
125,82.268,96.142
126,82.298,96.144
127,82.352,96.164
128,82.408,96.136
129,82.432,96.148
130,82.454,96.122
131,82.476,96.142
132,82.482,96.142
133,82.440,96.154
134,82.418,96.154
135,82.448,96.158
136,82.458,96.196
137,82.466,96.242
138,82.444,96.270
139,82.474,96.280
140,82.508,96.256
141,82.564,96.244
142,82.568,96.248
143,82.606,96.232
144,82.620,96.222
145,82.642,96.236
146,82.662,96.264
147,82.670,96.290
148,82.720,96.306
149,82.710,96.316
150,82.712,96.308